URL,Download Size,# Of Outgoing Links,Content-type
nytimes.com/,662295,366,text/html
nytimes.com/wirecutter/reviews/halloween-board-games/,463640,698,text/html
nytimes.com/wirecutter/reviews/best-pill-boxes/,553684,700,text/html
nytimes.com/wirecutter/reviews/most-moving-hacks-online-are-terrible/,411404,688,text/html
nytimes.com/wirecutter/reviews/board-games-for-adults/,699843,797,text/html
nytimes.com/wirecutter/reviews/free-video-games/,436396,705,text/html
nytimes.com/wirecutter/reviews/best-flannel-sheets/,623014,732,text/html
nytimes.com/ca/,661468,367,text/html
nytimes.com/wirecutter/electronics/,653146,765,text/html
nytimes.com/wirecutter/home-garden/,605356,751,text/html
nytimes.com/wirecutter/reviews/best-pressure-washer/,697293,730,text/html
nytimes.com/wirecutter/gifts/,437831,696,text/html
nytimes.com/es/,1026345,396,text/html
nytimes.com/wirecutter/deals/,1048576,780,text/html
nytimes.com/wirecutter/sleep/,482738,710,text/html
nytimes.com/wirecutter/reviews/best-air-purifier/,868789,783,text/html
nytimes.com/wirecutter/appliances/,439071,689,text/html
nytimes.com/wirecutter/make-a-plan/moving/,722909,759,text/html
nytimes.com/wirecutter/kitchen-dining/,547215,733,text/html
nytimes.com/wirecutter/travel/,454234,697,text/html
nytimes.com/international/,656036,367,text/html
nytimes.com/wirecutter/reviews/best-office-chair/,750467,757,text/html
nytimes.com/sitemap/,119755,210,text/html
nytimes.com/wirecutter/reviews/best-electric-toothbrush/,745068,790,text/html
nytimes.com/wirecutter/reviews/best-cordless-stick-vacuum/,738430,754,text/html
nytimes.com/wirecutter/baby-kid/,467858,701,text/html
nytimes.com/wirecutter/reviews/best-robot-vacuum/,679368,746,text/html
nytimes.com/wirecutter/health-fitness/,469078,706,text/html
nytimes.com/crosswords/game/daily/,91315,56,text/html
