time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2024-02-17 17:01:02.242 UTC, , , , , , , , , ,125,3161397,15544, , ,3, ,12, , , , , , , , , ,3,3, , , , ,1,3, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,780471787520,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1377,2,2,1,2, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,1,2,18898432,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-02-17 17:02:02.245 UTC, , , , , , , , , ,125,4196461,1050608, , ,74, ,26288, , , , , , , , , ,74,5, , , ,35,1,3, ,1387, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,47,66,267079832,-1, , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , ,681, ,6130, ,1382,6630,12745, , , , , , , , , , 
2024-02-17 17:03:02.245 UTC, , , , , , , , , ,125,4875797,1729944, , ,123, ,26431, , , , , , , , , ,123,5, , , ,61,1,3, ,206, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,15,13,380614288,-1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,100, ,3480, ,204,11153,11734, , , , , , , , , , 
2024-02-17 17:04:02.248 UTC, , , , , , , , , ,125,5680829,2534976, , ,175, ,23841, , , , , , , , , ,175,5, , , ,92,1,3, ,206, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,15,16,333134000,-1, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,100, ,4212, ,204,8361,11194, , , , , , , , , , 
2024-02-17 17:05:02.249 UTC, , , , , , , , , ,125,6323381,3177528, , ,218, ,30073, , , , , , , , , ,218,5, , , ,116,1,3, ,205, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,19,21,171609576,-1, , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , ,100, ,3270, ,204,15011,11732, , , , , , , , , , 
2024-02-17 17:06:02.250 UTC, , , , , , ,2, , ,125,7450645,4304792, , ,287, ,63403, , , , , , , , , ,287,9, , , ,157,1,5, ,515, , , , , , , , , , , ,5478, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,25,30,285516528,-1, , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , ,250, ,5536, ,510,41086,16665, , , , , , , , , , 
2024-02-17 17:07:02.252 UTC, , , , , , , , , ,125,9095741,5949888, , ,392, ,101268, , , , , , , , , ,392,10, , , ,216,1,5, ,514, , , , , , , , , , , ,101254, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,33,45,453875672,-1, , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , ,250, ,7861, ,510,72053,21207, , , , , , , , , , 
2024-02-17 17:08:02.253 UTC, , , , , , , , , ,125,11169557,8023704, , ,517, ,120376, , , , , , , , , ,517,12, , , ,288,1,5, ,412, , , , , , , , , , , ,120366, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,44,68,167252600,-1, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,200, ,9859, ,408,84819,25528, , , , , , , , , , 
2024-02-17 17:09:02.255 UTC, , , , , , , , , ,125,11918269,8772416, , ,569, ,112010, , , , , , , , , ,569,12, , , ,288,1,5, , , , , , , , , , , , , ,112010, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,51,86,202489152,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4334, , ,83481,24143, , , , , , , , , , 
2024-02-17 17:10:02.256 UTC, , , , , , , , , ,125,12579101,9433248, , ,613, ,95561, , , , , , , , , ,613,13, , , ,284,1,5, ,513, , , , , , , , , , , ,95544, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,54,109,230872688,-1, , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , ,250, ,4079, ,510,69578,21804, , , , , , , , , , 
